GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
authorization,com.authorizationservice.authorization.model,AuthenticationResponse,136,72,26,0,1,7,16,11,3,11
authorization,com.authorizationservice.authorization.model,AuthenticationRequest,0,42,0,0,0,5,0,7,0,7
authorization,com.authorizationservice.authorization.dto,VaildatingDTO,6,21,0,0,1,3,1,4,1,4
authorization,com.authorizationservice.authorization.dto,AuthenticationRequestDTO,27,15,0,0,2,3,4,3,4,3
authorization,com.authorizationservice.authorization.util,JwtUtil,3,181,2,2,0,41,2,14,0,14
authorization,com.authorizationservice.authorization.exceptions,LoginException,0,4,0,0,0,2,0,1,0,1
authorization,com.authorizationservice.authorization.controller,AuthorizationController,9,131,0,4,2,27,1,6,1,4
authorization,com.authorizationservice.authorization.service,AppUserDetailsServiceImpl,82,7,2,0,17,2,5,2,4,2
authorization,com.authorizationservice.authorization,AuthorizationApplication,5,59,0,0,2,12,1,2,1,2
authorization,com.authorizationservice.authorization,SecurityConfigurer,0,92,0,0,0,19,0,4,0,4
authorization,com.authorizationservice.authorization.filters,JwtRequestFilter,76,7,10,0,19,2,6,2,1,2
